Listagem de Distribuidoras 2009 a 2019;;;;;;;;;;;
;;;;;;;;;;;
Ano de exibição;Distribuidora;Número de Registro Ancine;Origem da empresa distribuidora;Público;Público Filmes Brasileiros;Renda (R$);Renda Filmes Brasileiros (R$);Títulos Exibidos;Títulos Brasileiros Exibidos;Títulos Lançados;Títulos Brasileiros Lançados
2013;Cafco Filmes;24886;Distribuição Nacional;17.480;0;210.423,51;0;2;0;2;0
2013;Califórnia;532;Distribuição Nacional;799.791;18.175;9.878.915,60;185.133;25;3;20;3
2013;Canal Brasil;1500;Distribuição Nacional;8.097;8.097;96.523,98;96.524;1;1;1;1
2013;Cesar Augusto Gananian;3833;Distribuição Nacional;867;867;13.260,91;13.261;1;1;1;1
2013;Cicatrix Filmes;23272;Distribuição Nacional;4.032;4.032;31.674,35;31.674;1;1;1;1
2013;Ciclorama Filmes;17471;Distribuição Nacional;1.262;1.262;11.903,08;11.903;1;1;0;0
2013;Cine Santa Teresa;14200;Distribuição Nacional;2.285;2.285;17.781,50;17.782;1;1;1;1
2013;Cinema Cinema Produções;21101;Distribuição Nacional;496;496;4.752,93;4.753;1;1;1;1
2013;Cinevideo Produções;21161;Distribuição Nacional;521;521;6.178,50;6.179;1;1;1;1
2013;Copacabana Filmes;506;Distribuição Nacional;1.591;1.591;14.828,67;14.829;1;1;1;1
2013;Cultura Maior;22903;Distribuição Nacional;1.676;1.676;21.519,41;21.519;1;1;1;1
2013;Diamond Films;22724;Distribuição Nacional;1.156.042;0;13.841.235,06;0;10;0;10;0
2013;Disney;18398;Distribuição Internacional;24.312.178;818.828;296.349.213,00;8.954.177;21;3;10;3
2013;Docdoma Filmes;5421;Distribuição Nacional;750;750;5.938,50;5.939;1;1;1;1
2013;Downtown;4904;Distribuição Nacional;15;15;232;232;1;1;1;1
2013;Downtown/Paris;4904/11922;Distribuição Nacional;12.955.183;12.955.183;141.436.440,89;141.436.441;7;7;7;7
2013;Downtown/Paris/RioFilme;4904/11922/105;Distribuição Nacional;4.147.267;4.147.267;43.099.264,29;43.099.264;4;4;1;1
2013;Downtown/Sony/RioFilme;4904/84/105;Codistribuição Internacional-Nacional;353.690;353.690;3.099.476,47;3.099.476;1;1;1;1
2013;Drama Filmes;610;Distribuição Nacional;365;365;1.104,00;1.104;1;1;1;1
2013;E.H. Produções;461;Distribuição Nacional;6.678;6.678;75.982,23;75.982;3;3;3;3
2013;Elo Company;5672;Distribuição Nacional;2.658;2.658;35.428,62;35.429;2;2;2;2
2013;Em Foco Multimídia;1134;Distribuição Nacional;747;747;6.899,22;6.899;1;1;1;1
2013;Esfera Produções;18039;Distribuição Nacional;308.216;0;3.919.775,39;0;23;0;14;0
2013;Espaço Filmes;1083;Distribuição Nacional;122.559;118.561;1.430.203,62;1.382.123;10;8;7;6
2013;Espaço Filmes/Videofilmes;1083/276;Distribuição Nacional;2.585;2.585;31.043,54;31.044;1;1;1;1
2013;Espaço Itaú de Cinema;14006;Distribuição Nacional;1.667;0;31.115,99;0;3;0;0;0
2013;Estação Elétrica Produções;1897;Distribuição Nacional;183;183;1.414,00;1.414;1;1;1;1
2013;Europa;2250;Distribuição Nacional;442.369;197.788;5.197.744,47;2.059.408;11;3;10;3
2013;Europa/RioFilme;2250/105;Distribuição Nacional;1.622.046;1.622.046;17.208.325,26;17.208.325;2;2;2;2
2013;F. J. Cines;310;Distribuição Nacional;5.079;0;35.314,50;0;1;0;0;0
2013;Festival Filmes;16538;Distribuição Nacional;248;248;3.591,06;3.591;1;1;1;1
2013;Filmes da Mostra;1797/29957;Distribuição Nacional;21.683;0;199.460,74;0;15;0;7;0
2013;FM Produções;21461;Distribuição Nacional;120;120;1.276,99;1.277;1;1;1;1
2013;Formosa Filmes;16462;Distribuição Nacional;769;769;10.007,06;10.007;1;1;1;1
2013;Forte Filmes;12699;Distribuição Nacional;2.002;2.002;25.387,81;25.388;2;2;2;2
2013;Fox;256;Distribuição Internacional;18.486.428;125.502;222.002.175,00;1.302.369;22;1;19;1
2013;Grafo Audiovisual;13715;Distribuição Nacional;98;98;280;280;1;1;0;0
2013;Graça Filmes;16514;Distribuição Nacional;1.170;0;6.456,50;0;1;0;0;0
2013;Grupo Storm;25676;Distribuição Nacional;325;325;3.178,00;3.178;1;1;1;1
2013;Gullane Entretenimento;848;Distribuição Nacional;527;527;6.479,84;6.480;1;1;1;1
2013;H2O Films;24619/21541;Distribuição Nacional;99.257;18.135;1.268.177,62;197.859;8;3;7;2
2013;H2O Films/RioFilme;24619/21541/105;Distribuição Nacional;13.151;13.151;115.473,14;115.473;3;3;1;1
2013;Imagem;1935;Distribuição Nacional;9.822.007;4.293.576;109.536.811,26;45.596.918;37;7;30;5
2013;Imagem/Fox;1935/256;Codistribuição Internacional-Nacional;1.715.763;1.715.763;18.253.649,24;18.253.649;1;1;1;1
2013;Imovision;11868/173;Distribuição Nacional;893.313;146.688;10.487.861,54;1.522.849;66;9;37;6
2013;Instituto Via BR;24513;Distribuição Nacional;1.486;1.486;17.938,90;17.939;1;1;1;1
2013;Jura Filmes;4946;Distribuição Nacional;1.102;1.102;4.554,35;4.554;1;1;1;1
2013;Kino Filmes;762;Distribuição Nacional;444;444;2.162,72;2.163;1;1;1;1
2013;Lança Filmes;25115;Distribuição Nacional;351;351;2.449,33;2.449;1;1;1;1
2013;Lume Produções Cinematográficas;11990;Distribuição Nacional;10.354;10.216;95.366,98;94.423;8;4;4;4
2013;Maff Representação e Participação;21823;Distribuição Nacional;2.557;2.557;32.997,93;32.998;1;1;1;1
2013;Mapa Filmes do Brasil;647;Distribuição Nacional;518;518;3.361,27;3.361;1;1;0;0
2013;Moviola Filmes;18147;Distribuição Nacional;67;67;153;153;1;1;0;0
2013;NGM Produções;891;Distribuição Nacional;ND;ND;ND;ND;1;1;1;1
2013;Oswaldo Montenegro Produções Artísticas;6707;Distribuição Nacional;1.971;1.971;29.109,04;29.109;1;1;1;1
2013;Paleotv;4958;Distribuição Nacional;1.431;1.431;6.025,70;6.026;1;1;1;1
2013;Panda Filmes;941;Distribuição Nacional;2.674;2.662;26.381,74;26.316;4;3;4;3
2013;Pandora Filmes;12443/333;Distribuição Nacional;181.889;12.833;2.006.380,57;111.943;19;6;12;5
2013;Paramount;169;Distribuição Internacional;10.865.786;0;139.958.652,00;0;12;0;10;0
2013;Paris;11922;Distribuição Nacional;12.782.887;218;145.078.311,38;1.090;53;1;32;0
2013;Pequi Filmes;5446;Distribuição Nacional;25.085;25.085;262.474,40;262.474;1;1;1;1
2013;Petrini;18028;Distribuição Nacional;199;ND;1.396,80;ND;4;1;3;1
2013;Pipa Produções;5467;Distribuição Nacional;1.991;1.991;16.213,53;16.214;1;1;1;1
2013;Playarte;443;Distribuição Nacional;2.137.509;669;24.318.750,69;9.608;16;1;10;0
2013;Polifilmes;2550;Distribuição Nacional;16.803;15.876;96.147,38;85.623;5;4;3;2
2013;Prana Filmes;1226;Distribuição Nacional;55;55;192;192;1;1;0;0
2013;Raconto Produções Artísticas;13044;Distribuição Nacional;207;207;1.630,00;1.630;1;1;1;1
2013;Raiz Distribuidora;11792;Distribuição Nacional;1.219;1.219;15.310,15;15.310;2;2;2;2
2013;RioFilme;105;Distribuição Nacional;103;103;615;615;1;1;0;0
2013;Serendip;4626;Distribuição Nacional;100.922;4.550;1.200.226,17;51.515;5;1;2;1
2013;Signopus;1494;Distribuição Nacional;8.600;8.600;62.408,52;62.409;1;1;0;0
2013;Sony;84;Distribuição Internacional;14.131.074;18.749;162.044.228,12;213.113;20;1;14;0
2013;Sony/Downtown;84/4904;Codistribuição Internacional-Nacional;200;200;266;266;1;1;0;0
2013;Sony/RioFilme;84/105;Codistribuição Internacional-Nacional;189.113;189.113;1.965.050,95;1.965.051;2;2;1;1
2013;TGD Filmes;68;Distribuição Nacional;4.326;4.326;40.853,73;40.854;1;1;1;1
2013;Tigre Produções Cinematográficas;2234;Distribuição Nacional;16.908;16.908;76.447,52;76.448;1;1;1;1
2013;Tucumán;16132;Distribuição Nacional;25.603;1.857;268.985,95;14.470;9;3;7;2
2013;TV Zero Cinema;4586;Distribuição Nacional;797;797;6.332,82;6.333;1;1;1;1
2013;Universal;169/84/33787;Distribuição Internacional;15.118.609;0;172.077.728,75;0;16;0;12;0
2013;Videofilmes;276;Distribuição Nacional;11.023;11.023;127.590,80;127.591;4;4;3;3
2013;Vilacine;18499;Distribuição Nacional;4.224;4.224;49.805,34;49.805;1;1;1;1
2013;Vinny Filmes;17810;Distribuição Nacional;139.376;12;1.603.927,53;60;8;1;2;0
2013;Vitrine Filmes;16713;Distribuição Nacional;199.973;125.789;2.139.176,74;1.283.591;21;18;15;13
2013;Warner;265;Distribuição Internacional;15.955.979;725.732;198.782.553,63;7.471.327;19;2;12;1
2013;Zazen;611;Distribuição Nacional;775;775;6.272,00;6.272;1;1;1;1
2013;Zeta Filmes;22936;Distribuição Nacional;43.537;0;412.150,04;0;4;0;4;0
2014;Ab Filmes;136;Distribuição Nacional;740;740;9.678,40;9.678;1;1;1;1
2014;Ab Filmes/Polifilmes;136/2550;Distribuição Nacional;90;90;1.110,30;1.110;2;2;0;0
2014;Activity Filmes;309;Distribuição Nacional;94.812;0;1.284.203,10;0;1;0;1;0
2014;Aiuê Filmes;18678;Distribuição Nacional;2.192;2.192;21.416,16;21.416;1;1;1;1
2014;Alphaville Filmes;6418;Distribuição Nacional;366.439;0;4.555.119,60;0;14;0;8;0
2014;ArtHouse;22808;Distribuição Nacional;1.516;1.516;19.711,55;19.712;3;3;2;2
2014;Bela Filmes;18625;Distribuição Nacional;192;192;1.598,34;1.598;1;1;0;0
2014;Biscoito Fino;28161;Distribuição Nacional;2.563;2.563;33.877,00;33.877;1;1;1;1
2014;Boulevard Filmes;17484;Distribuição Nacional;1.071;1.071;5.941,00;5.941;1;1;1;1
2014;Bretz Filmes;19243;Distribuição Nacional;2.356;0;17.274,00;0;1;0;1;0
2014;Busca Vida Filmes;18932;Distribuição Nacional;243;243;3.099,43;3.099;1;1;0;0
2014;Cafco Filmes;24886;Distribuição Nacional;3.430;0;43.372,39;0;3;0;1;0
2014;Caliban;854;Distribuição Nacional;301;301;3.516,04;3.516;1;1;1;1
2014;Califórnia;532;Distribuição Nacional;3.528.794;136.992;41.578.948,14;1.778.907;26;2;19;2
2014;Cavideo Produções;11893;Distribuição Nacional;970;970;4.875,00;4.875;1;1;1;1
2014;Cine Group;2647;Distribuição Nacional;1.514;1.514;21.688,27;21.688;1;1;1;1
2014;Cine Santa Teresa;14200;Distribuição Nacional;355;355;0;0;1;1;0;0
2014;Cinemark Brasil;1843;Distribuição Nacional;132.074;0;1.168.269,44;0;24;0;0;0
2014;Copacabana Filmes;506;Distribuição Nacional;508.901;508.901;6.447.968,11;6.447.968;1;1;1;1
2014;Diamond Films;22724;Distribuição Nacional;2.213.504;0;27.377.218,02;0;17;0;12;0
2014;Disney;18398;Distribuição Internacional;23.255.762;1.776.579;297.043.224,00;20.732.500;29;1;18;1
2014;Downtown;4904;Distribuição Nacional;1.372;1.372;17.486,66;17.487;1;1;1;1
2014;Downtown/Paris;4904/11922;Distribuição Nacional;11.302.757;11.302.757;130.899.741,17;130.899.741;21;21;16;16
2014;E.H. Produções;461;Distribuição Nacional;1.754;1.754;21.364,82;21.365;2;2;1;1
2014;Elo Company;5672;Distribuição Nacional;15.038;15.038;198.519,85;198.520;7;7;7;7
2014;Esfera Produções;18039;Distribuição Nacional;193.002;0;2.291.324,06;0;31;0;13;0
2014;Espaço Filmes;1083;Distribuição Nacional;150.812;115.236;1.745.963,14;1.295.552;27;20;16;13
2014;Espaço Filmes/Videofilmes;1083/276;Distribuição Nacional;18;18;83,5;84;1;1;0;0
2014;Espaço Itaú de Cinema;14006;Distribuição Nacional;620;0;12.844,93;0;1;0;1;0
2014;Europa;2250;Distribuição Nacional;241.591;93.287;2.887.315,15;1.014.063;16;2;11;2
2014;Europa/RioFilme;2250/105;Distribuição Nacional;29;29;160,27;160;1;1;0;0
2014;F. J. Cines;310;Distribuição Nacional;10.326;0;88.022,00;0;3;0;1;0
2014;Filmes da Mostra;1797/29957;Distribuição Nacional;14.662;0;169.528,88;0;9;0;6;0
2014;Fox;256;Distribuição Internacional;35.615.652;705.300;443.380.702,00;8.389.625;32;3;19;2
2014;Grafo Audiovisual;13715;Distribuição Nacional;86;86;334;334;1;1;0;0
2014;Graça Filmes;16514;Distribuição Nacional;325.588;0;3.122.035,74;0;2;0;2;0
2014;H2O Films;24619/21541;Distribuição Nacional;930.680;409.122;10.897.229,15;4.558.997;13;5;12;4
2014;Hype101;25754;Distribuição Nacional;2.120;0;28.318,96;0;1;0;1;0
2014;Ideias Ideais/Nossa Distribuidora;1027;Distribuição Nacional;4.849;4.849;59.878,11;59.878;1;1;1;1
2014;Ideias Maria Farinha;15848;Distribuição Nacional;14.892;14.892;193.057,40;193.057;1;1;1;1
2014;Imagem;1935;Distribuição Nacional;10.268.141;2.280.037;129.219.219,58;27.383.882;38;7;29;6
2014;Imovision;11868/173;Distribuição Nacional;513.466;104.083;6.451.705,83;1.190.491;61;14;29;4
2014;Instituto Via BR;24513;Distribuição Nacional;84;84;586;586;1;1;0;0
2014;Jura Filmes;4946;Distribuição Nacional;120;120;1.021,50;1.022;1;1;0;0
2014;Kinofilmes Produções;232;Distribuição Nacional;12;12;42;42;1;1;0;0
2014;Kinoscópio;2320;Distribuição Nacional;7.563;7.563;80.229,75;80.230;1;1;1;1
2014;Laurence Produções;22511;Distribuição Nacional;2.462;2.462;14.091,52;14.092;1;1;1;1
2014;Livres Filmes;21870;Distribuição Nacional;1.449;1.449;18.590,87;18.591;2;2;2;2
2014;Lotado Filmes;22667;Distribuição Nacional;10.865;10.865;142.564,19;142.564;1;1;1;1
2014;Lume Produções Cinematográficas;11990;Distribuição Nacional;10.614;1.274;110.537,71;5.798;11;2;6;1
2014;Maria Gorda Filmes;14771;Distribuição Nacional;20;20;150;150;1;1;1;1
2014;Nossa Distribuidora;20772;Distribuição Nacional;5.759;5.759;70.112,29;70.112;2;2;2;2
2014;O2 Play;63;Distribuição Nacional;5.211;5.211;66.206,88;66.207;2;2;2;2
2014;Okna Produções;11871;Distribuição Nacional;3.667;3.667;37.165,79;37.166;1;1;1;1
2014;Panda Filmes;941;Distribuição Nacional;1.108;919;12.216,14;10.586;3;2;2;2
2014;Pandora Filmes;12443/333;Distribuição Nacional;88.855;8.484;1.066.351,53;73.326;37;9;12;4
2014;Paramount;169;Distribuição Internacional;16.851.754;0;226.022.810,00;0;10;0;9;0
2014;Paris;11922;Distribuição Nacional;9.817.903;0;119.468.817,52;0;43;0;26;0
2014;Petrini;18028;Distribuição Nacional;ND;ND;ND;ND;1;1;1;1
2014;Pipa Produções;5467;Distribuição Nacional;1.591;1.591;10.167,77;10.168;2;2;1;1
2014;Playarte;443;Distribuição Nacional;2.005.610;0;26.112.526,73;0;12;0;9;0
2014;Polifilmes;2550;Distribuição Nacional;4.954;3.426;61.027,30;43.420;7;4;4;2
2014;Prana Filmes;1226;Distribuição Nacional;39;39;100;100;1;1;0;0
2014;Raconto Produções Artísticas;13044;Distribuição Nacional;91;91;903;903;1;1;1;1
2014;Raiz Distribuidora;11792;Distribuição Nacional;1.526;1.526;18.357,86;18.358;4;4;2;2
2014;Sam Rádio Pictures;16852;Distribuição Nacional;ND;ND;ND;ND;1;1;1;1
2014;Santa Rita Filmes;21756;Distribuição Nacional;25.999;25.999;327.317,11;327.317;1;1;1;1
2014;Signopus;1494;Distribuição Nacional;77;77;184,3;184;1;1;0;0
2014;Sony;84;Distribuição Internacional;11.456.457;892.367;143.481.276,40;9.534.967;21;2;13;2
2014;Tucumán;16132;Distribuição Nacional;100.681;1.028;1.222.759,78;9.045;15;3;9;2
2014;TV Zero Cinema;4586;Distribuição Nacional;1.274;1.274;17.983,50;17.984;1;1;1;1
2014;UCI;749;Distribuição Nacional;4.899;0;129.872,00;0;6;0;6;0
2014;Universal;169/84/33787;Distribuição Internacional;6.033.413;259.247;74.008.635,40;3.040.736;11;1;7;1
2014;Videofilmes;276;Distribuição Nacional;44;44;212;212;2;2;0;0
2014;Vitrine Filmes;16713;Distribuição Nacional;255.299;244.593;2.953.109,51;2.809.754;23;19;9;8
2014;Warner;265;Distribuição Internacional;19.168.700;99.069;248.926.440,00;1.240.111;37;2;18;1
2014;Ze's Produções;22810;Distribuição Nacional;366;366;4.156,00;4.156;1;1;1;1
2014;Zeta Filmes;22936;Distribuição Nacional;19.252;0;230.107,15;0;10;0;6;0
2015;7Estrelo Filmes;1772;Distribuição Nacional;2.721;2.721;33.158,32;33.158;1;1;1;1
2015;ABR Cine Vídeo;15440;Distribuição Nacional;169;169;1.328,08;1.328;1;1;1;1
2015;Agência Observatório;26345;Distribuição Nacional;722;722;11.879,24;11.879;1;1;1;1
2015;Alpha Filmes;5963;Distribuição Nacional;121.075;0;1.648.814,47;0;8;0;8;0
2015;Alphaville Filmes;6418;Distribuição Nacional;399.824;0;5.631.925,87;0;31;0;19;0
2015;Araçá Azul;4701;Distribuição Nacional;427;427;5.338,50;5.339;1;1;1;1
2015;ArtHouse;22808;Distribuição Nacional;16.521;16.521;150.698,29;150.698;3;3;3;3
2015;Bela Filmes;18625;Distribuição Nacional;307;307;3.771,00;3.771;1;1;1;1
2015;Biscoito Fino;28161;Distribuição Nacional;777;777;9.461,00;9.461;1;1;0;0
2015;Bodhgaya Films;17583;Distribuição Nacional;7.680;7.680;114.746,33;114.746;1;1;1;1
2015;Boulevard Filmes;17484;Distribuição Nacional;10.800;10.800;79.344,37;79.344;3;3;3;3
2015;Bretz Filmes;19243;Distribuição Nacional;27.437;0;357.582,77;0;6;0;5;0
2015;Califórnia;532;Distribuição Nacional;1.522.461;0;20.326.905,31;0;36;0;28;0
2015;Camisa Treze;4369;Distribuição Nacional;1.401;1.401;17.391,89;17.392;1;1;1;1
2015;Cazion Films Brasil;31096;Distribuição Nacional;384.735;0;5.014.816,03;0;1;0;1;0
2015;Cine Group;2647;Distribuição Nacional;750;750;9.234,11;9.234;1;1;0;0
2015;Cine Santa Teresa;14200;Distribuição Nacional;5.344;948;67.784,35;12.224;2;1;2;1
2015;Cinemark Brasil;1843;Distribuição Nacional;137.904;359;1.864.673,53;3.246;24;1;6;0
2015;Cinépolis;17266;Distribuição Nacional;7.199;0;88.087,60;0;1;0;1;0
2015;Clarissa Appelt Baptista San Roman;23664;Distribuição Nacional;111;111;1.368,55;1.369;1;1;1;1
2015;Comalt;380;Distribuição Nacional;7.352;7.352;86.229,49;86.229;1;1;1;1
2015;Copacabana Filmes;506;Distribuição Nacional;10.332;10.332;210.134,28;210.134;1;1;1;1
2015;Cultura;1125;Distribuição Nacional;308;308;4.164,00;4.164;1;1;1;1
2015;Daza Filmes;17547;Distribuição Nacional;718;718;6.933,14;6.933;3;3;3;3
2015;Delícia Filmes;18156;Distribuição Nacional;30.141;30.141;362.537,74;362.538;1;1;1;1
2015;Diamond Films;22724;Distribuição Nacional;2.468.321;0;35.371.157,73;0;22;0;15;0
2015;Disney;18398;Distribuição Internacional;29.974.466;0;417.335.567,62;0;37;0;9;0
2015;Downtown;4904;Distribuição Nacional;3.098;3.098;38.837,43;38.837;2;2;2;2
2015;Downtown/Paris;4904/11922;Distribuição Nacional;12.209.393;12.209.393;147.349.606,57;147.349.607;22;22;15;15
2015;Downtown/Paris/RioFilme;4904/11922/105;Distribuição Nacional;47;47;156;156;1;1;0;0
2015;Dunamys Films;21494;Distribuição Nacional;5.112;0;55.335,34;0;1;0;1;0
2015;E.H. Produções;461;Distribuição Nacional;1.574;1.574;13.712,25;13.712;1;1;0;0
2015;Elite Filmes;22364;Distribuição Nacional;6.262;523;90.412,79;6.696;3;1;3;1
2015;Elo Company;5672;Distribuição Nacional;17.710;17.710;225.136,77;225.137;8;8;6;6
2015;Esfera Produções;18039;Distribuição Nacional;109.879;0;1.356.611,60;0;33;0;7;0
2015;Espaço Filmes;1083;Distribuição Nacional;99.465;25.369;1.355.379,59;281.077;25;15;7;2
2015;Espaço Filmes/Videofilmes;1083/276;Distribuição Nacional;14.498;14.498;187.626,54;187.627;1;1;1;1
2015;Espaço Itaú de Cinema;14006;Distribuição Nacional;197;0;4.436,50;0;1;0;0;0
2015;Estrangeira Filmes;21082;Distribuição Nacional;491;491;5.809,00;5.809;1;1;1;1
2015;Europa;2250;Distribuição Nacional;364.680;236.077;4.889.011,56;3.011.379;13;5;8;4
2015;F. J. Cines;310;Distribuição Nacional;18.073;0;227.527,71;0;5;0;0;0
2015;Film Connection/Imovision;5587/11868/173;Distribuição Nacional;38.073;38.073;524.238,74;524.239;1;1;1;1
2015;Filmes da Mostra;1797/29957;Distribuição Nacional;5.106;0;62.396,81;0;5;0;2;0
2015;Filmikka Produções;23256;Distribuição Nacional;243;243;3.301,00;3.301;1;1;1;1
2015;Forte Filmes;12699;Distribuição Nacional;3.517;3.517;49.818,28;49.818;1;1;1;1
2015;Fox;256;Distribuição Internacional;27.476.565;973.744;362.333.813,10;12.484.846;48;3;26;2
2015;Fundação Maurício Grabois;22073;Distribuição Nacional;260;260;4.167,46;4.167;1;1;1;1
2015;Gullane Entretenimento;848;Distribuição Nacional;153;153;2.161,00;2.161;1;1;1;1
2015;H2O Films;24619/21541;Distribuição Nacional;3.585.321;3.422.625;45.402.326,01;43.271.320;9;4;5;3
2015;Imagem;1935;Distribuição Nacional;3.960.151;2.444.370;51.346.333,77;30.115.263;26;9;13;3
2015;Imagem/Conspiração;1935/10;Distribuição Nacional;80.335;80.335;1.026.924,65;1.026.925;1;1;1;1
2015;Imovision;11868/173;Distribuição Nacional;697.928;30.303;10.038.723,63;348.037;85;19;43;5
2015;Internacional Produções de Cinema e Vídeo;4758;Distribuição Nacional;22;22;245,66;246;1;1;1;1
2015;Lagoa Filmes;18072;Distribuição Nacional;3.119;3.119;43.810,37;43.810;1;1;1;1
2015;Lança Filmes;25115;Distribuição Nacional;5.527;3.455;65.980,68;38.563;3;2;3;2
2015;Livres Filmes;21870;Distribuição Nacional;3.275;3.275;32.904,11;32.904;3;3;3;3
2015;Lotado Filmes;22667;Distribuição Nacional;3.478;3.478;36.280,99;36.281;1;1;0;0
2015;Lume Produções Cinematográficas;11990;Distribuição Nacional;725;50;8.582,12;300;4;2;2;1
2015;MA7 Filmes;16758;Distribuição Nacional;385;385;6.253,61;6.254;1;1;1;1
2015;Maria Farinha Filmes;18069;Distribuição Nacional;6.868;5.519;92.160,12;73.783;2;1;2;1
2015;Milocos Entretenimento;21106;Distribuição Nacional;62.250;62.250;951.307,58;951.308;1;1;1;1
2015;Moro Comunicação;5224;Distribuição Nacional;4.363;4.363;46.830,91;46.831;2;2;2;2
2015;Nossa Distribuidora;20772;Distribuição Nacional;4.406;4.406;58.928,76;58.929;6;6;6;6
2015;O2 Play;63;Distribuição Nacional;1.645;1.645;35.167,27;35.167;1;1;1;1
2015;Pandora Filmes;12443/333;Distribuição Nacional;566.193;500.658;7.805.337,64;6.969.523;25;8;9;5
2015;Pansport;29227;Distribuição Nacional;3.449;3.449;37.026,66;37.027;1;1;1;1
2015;Paramount;169;Distribuição Internacional;10.703.927;0;147.901.007,00;0;8;0;5;0
2015;Paris;11922;Distribuição Nacional;14.495.358;0;199.196.922,17;0;48;0;27;0
2015;Pipa Produções;5467;Distribuição Nacional;627;627;4.644,00;4.644;1;1;1;1
2015;Playarte;443;Distribuição Nacional;641.249;0;8.628.107,93;0;11;0;8;0
2015;Plural Filmes Sul;5736;Distribuição Nacional;318;318;4.948,16;4.948;1;1;1;1
2015;Polifilmes;2550;Distribuição Nacional;388;148;3.361,00;1.175;3;1;0;0
2015;Polifilmes/Plateau Filmes;2550/13691;Distribuição Nacional;1.347;1.347;13.902,03;13.902;1;1;1;1
2015;Preta Portê Filmes;16197;Distribuição Nacional;719;719;10.008,88;10.009;1;1;1;1
2015;Raiz Distribuidora;11792;Distribuição Nacional;5.418;5.418;50.322,50;50.323;10;10;6;6
2015;Sesc;2295;Distribuição Nacional;587;587;8.884,83;8.885;1;1;1;1
2015;Sony;84;Distribuição Internacional;10.384.149;97.697;143.403.611,82;1.516.552;18;1;14;1
2015;Supo Mungam Films;28508;Distribuição Nacional;32.402;0;418.138,85;0;10;0;9;0
2015;Tia Maria Filmes;23754;Distribuição Nacional;273;273;3.914,00;3.914;1;1;1;1
2015;Tremè Produções;23364;Distribuição Nacional;1.292;1.292;16.821,65;16.822;1;1;1;1
2015;Tucumán;16132;Distribuição Nacional;78.887;2.341;999.199,23;28.958;16;3;10;1
2015;UCI;749;Distribuição Nacional;29.996;0;830.938,50;0;11;0;10;0
2015;Universal;169/84/33787;Distribuição Internacional;35.954.980;439.446;498.576.453,22;5.159.605;28;2;20;1
2015;Universal Music Brasil;16080;Distribuição Nacional;20.565;0;420.251,66;0;1;0;1;0
2015;Universal/Europa/Elo Company;169/84/33787/2250/5672;Codistribuição Internacional-Nacional;1.637.032;1.637.032;21.108.060,56;21.108.061;1;1;1;1
2015;Urca Filme;1304;Distribuição Nacional;11.965;11.965;178.508,09;178.508;1;1;1;1
2015;Vermelho Profundo;26309;Distribuição Nacional;294;294;2.804,00;2.804;1;1;1;1
2015;Videofilmes;276;Distribuição Nacional;6.689;6.689;74.647,54;74.648;1;1;1;1
2015;Vilacine;18499;Distribuição Nacional;6.932;566;75.503,85;5.843;3;2;2;1
2015;Vinny Filmes;17810;Distribuição Nacional;8.581;8.581;110.064,97;110.065;1;1;1;1
2015;Vitrine Filmes;16713;Distribuição Nacional;104.149;79.865;1.267.417,16;924.789;33;29;13;11
2015;Warner;265;Distribuição Internacional;14.280.018;14.337;202.276.750,00;184.598;30;1;18;1
2015;Zeta Filmes;22936;Distribuição Nacional;110.846;0;1.375.959,69;0;13;0;6;0
2016;2A Produções;33404;Distribuição Nacional;59;59;320;320;1;1;1;1
2016;4 Ventos Comunicação;858;Distribuição Nacional;312;312;2.600,00;2.600;1;1;1;1
2016;7Estrelo Filmes;1772;Distribuição Nacional;69;69;321,75;322;1;1;0;0
2016;Affonso Uchôa;20515;Distribuição Nacional;1.959;1.959;16.904,19;16.904;1;1;1;1
2016;Alpha Filmes;5963;Distribuição Nacional;40.050;0;521.344,30;0;7;0;4;0
2016;Alpha Filmes/Pandora Filmes;5963/12443/333;Distribuição Nacional;38;0;456,47;0;1;0;0;0
2016;Alphaville Filmes;6418;Distribuição Nacional;515.763;0;7.842.748,12;0;33;0;20;0
2016;ArtHouse;22808;Distribuição Nacional;11.928;11.928;153.015,08;153.015;3;3;2;2
2016;Bang Filmes;1126;Distribuição Nacional;5.080;5.080;44.764,81;44.765;1;1;1;1
2016;Blest;29137;Distribuição Nacional;238;238;2.160,00;2.160;1;1;1;1
2016;Bonfilm;14462;Distribuição Nacional;11.967;0;162.426,13;0;1;0;1;0
2016;Boulevard Filmes;17484;Distribuição Nacional;914;914;5.307,00;5.307;5;5;2;2
2016;Bretz Filmes;19243;Distribuição Nacional;13.378;0;164.805,20;0;5;0;3;0
2016;Bretz Filmes/Videofilmes;19243/276;Distribuição Nacional;3.187;3.187;48.018,21;48.018;1;1;1;1
2016;Califórnia;532;Distribuição Nacional;708.807;0;9.867.160,98;0;33;0;19;0
2016;Camisa Treze;4369;Distribuição Nacional;772;0;9.434,00;0;1;0;1;0
2016;Cazion Films Brasil;31096;Distribuição Nacional;223.468;0;3.126.790,28;0;2;0;1;0
2016;Cazumbá Filmes;32206;Distribuição Nacional;247;247;2.635,08;2.635;1;1;1;1
2016;Cigano Filmes;21108;Distribuição Nacional;3.368;3.368;33.682,11;33.682;1;1;1;1
2016;Cine Group;2647;Distribuição Nacional;698;698;5.801,88;5.802;1;1;1;1
