"""Listagem de Autorizações de Produções Audiovisuais no Brasil com Participação de Profissionais Estrangeiros - 2014""";;;;;;;;;;;
;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)"""
"""103""";24/03/2014;"""3""";"""BITTE MELDE DICH - EXTRAS""";"""Documentário""";"""01/04/2014 a 05/04/2014""";"""Aura Filme Produções Ltda""";"""RJ""";"""Endemol Deutschalnd GmbH""";"""Alemanha""";"""Estrangeira""";"""RS"""
"""104""";24/03/2014;"""3""";"""ESTREITO DE BREVES""";"""Documentário""";"""02/04/2014 a 09/04/2014""";"""Aura Filme Produções Ltda""";"""RJ""";"""Maximus Film GmbH""";"""Alemanha""";"""Estrangeira""";"""PA"""
"""105""";24/03/2014;"""2""";"""ONCE UPON A TIME IN ROCINHA""";"""Documentário""";"""01/04/2014 a 25/04/2014""";"""Connection Filmes e Produções Artísticas Ltda""";"""RJ""";"""TVE""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""106""";24/03/2014;"""4""";"""BT SUPPORTERS CLUB FILMS""";"""Documentário""";"""26/03/2014 a 03/04/2014""";"""Connection Filmes e Produções Artísticas Ltda""";"""RJ""";"""Here We Go Films""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""107""";24/03/2014;"""2""";"""FIGHT FOR LIFE""";"""Documentário""";"""14/04/2014 a  26/04/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""Danish Broadcasting Corp.""";"""Dinamarca""";"""Estrangeira""";"""GO"""
"""108""";24/03/2014;"""4""";"""CRISPY BRAND""";"""Documentário""";"""25/03/2014 a 20/04/2014""";"""Connection Filmes e Produções Artísticas Ltda""";"""RJ""";"""Swerve Entertainment""";"""Emirados Árabes""";"""Estrangeira""";"""RJ"""
"""109""";24/03/2014;"""4""";"""HAMBURG SÜD FILME IMAGEM""";"""Documentário""";"""18/04/2014 a 25/04/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""Hamburg Suedamerikanische Dampfschiffahrts-Gesellschaft""";"""Alemanha""";"""Estrangeira""";"""PR/SC"""
"""110""";25/03/2014;"""5""";"""LH-MAGAZIN/BRASILIEN""";"""Documentário""";"""02/04/2014 a 12/04/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""G+J Corporate Editors GmbH""";"""Alemanha""";"""Estrangeira""";"""PR/RJ/SP"""
"""111""";25/03/2014;"""6""";"""BUREAU SPORT""";"""Programa de Entrevistas""";"""17/04/2014 a 28/04/2014""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""The Media Brothers""";"""Holanda""";"""Estrangeira""";"""MG/RJ"""
"""112""";26/03/2014;"""2""";"""DIVÃ 2""";"""Ficção""";"""28/03/2014 a 15/05/2014""";"""Total Entertainment Ltda""";"""RJ""";"""Aleph Media AS""";"""Argentina""";"""Estrangeira""";"""RJ"""
"""113""";26/03/2014;"""13""";"""BRASIL X JAPÃO EM DRIBLES E EMBAIXADINHAS""";"""Documentário""";"""12/04/2014 a 24/04/2014""";"""Alfixit Produções Culturais e Artísticas Ltda""";"""SP""";"""TYO Productions""";"""Japão""";"""Estrangeira""";"""SP"""
"""114""";26/03/2014;"""6""";"""DON'T DRIVE HERE - 2ª TEMPORADA""";"""Documentário""";"""02/05/2014 a 14/05/2014""";"""Leonardo Henrique Pereira Branco""";"""SP""";"""CC II Productions Inc.""";"""Canadá""";"""Estrangeira""";"""SP"""
"""115""";27/03/2014;"""2""";"""LIFESTYLE""";"""Banco de Imagens""";"""13/04/2014 a 04/05/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""Funnelbox Production Studios""";"""EUA""";"""Estrangeira""";"""RJ"""
"""116""";27/03/2014;"""3""";"""WHAT IS EXPERIAN""";"""Institucional""";"""06/04/2014 a 10/04/2014""";"""Revival Company Ltda""";"""SP""";"""Viewfinder UK""";"""Reino Unido""";"""Estrangeira""";"""SP"""
"""117""";31/03/2014;"""138""";"""GO BRAZIL GOAL""";"""Documentário""";"""15/04/2014 a 20/07/2014""";"""Town Network Filmagens Ltda""";"""SP""";"""Beijing Zgengnneng Culture Development Company Lts.""";"""China""";"""Estrangeira""";"""AM/BA/CE/DF/MT/MG/PA/PE/RJ/RN/RS/SP"""
"""118""";31/03/2014;"""5""";"""FIAT MONDIALI""";"""Publicitária""";"""20/03/2014 a 11/04/2014""";"""Zohar Cinema e Comunicação Ltda""";"""RJ""";"""Mercurio Cinematográfica""";"""Itália""";"""Estrangeira""";"""RJ"""
"""119""";31/03/2014;"""1""";"""LIFE IN BRAZIL""";"""Documentário""";"""04/04/2014 a 23/04/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""SRF Swiss National TV""";"""Suíça""";"""Estrangeira""";"""AM/RJ/SP"""
"""120""";31/03/2014;"""4""";"""BEGEGNUNG MIT BRASILIEN""";"""Documentário""";"""20/04/2014 a 06/05/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""Beckground Tv GbmH""";"""Alemanha""";"""Estrangeira""";"""AM/RJ/SP"""
"""121""";31/03/2014;"""3""";"""MODELAGENTURCHEFIN LOUISA""";"""Documentário""";"""14/04/2014 a 18/04/2014""";"""Aura Filme Produções Ltda""";"""RJ""";"""InfoNetwork""";"""Alemanha""";"""Estrangeira""";"""RJ/SP"""
"""122""";01/04/2014;"""3""";"""SEKAI HOT JOURNAL""";"""Programa de Notícias""";"""18/04/2014 a 07/05/2014""";"""Xes Projetos Visuais Ltda""";"""SP""";"""Staff Labb Co. Ltd.""";"""Japão""";"""Estrangeira""";"""MG/RJ/SP"""
"""123""";01/04/2014;"""4""";"""BLOCK WORKOUT""";"""Reality Show""";"""04/04/2014 a 13/04/2014""";"""Leonardo Henrique Pereira Branco""";"""SP""";"""C-Saw Media ZA""";"""África do Sul""";"""Estrangeira""";"""RJ"""
"""124""";03/04/2014;"""2""";"""UNTO ALL THE WORLD: THE MINISTRY IN BRAZIL""";"""Documentário Institucional""";"""14/05/2014 a 26/05/2014""";"""Leonardo Henrique Pereira Branco""";"""SP""";"""Corporation of the Presiding Bishop of the Church of Jesus Christ of Latter-Day Saints""";"""EUA""";"""Estrangeira""";"""CE/DF/PA/PE/SP"""
"""125""";03/04/2014;"""3""";"""CRAZY JOBS""";"""Reality Show""";"""16/04/2014 a 23/04/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""Story House Productions GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ"""
"""126""";04/04/2014;"""3""";"""ADENÍSIA - BAUERFEIND""";"""Documentário""";"""11/04/2014 A 16/04/2014""";"""Primitivo Produção de Vídeo e Filmes Ltda""";"""SP""";"""Lanterna Mágica Filmproduktion GmbH""";"""Alemanha""";"""Estrangeira""";"""SP"""
"""127""";04/04/2014;"""4""";"""UDON - KEN JAPAN""";"""Documentário""";"""14/04/2014 a 17/04/2014""";"""Business & Arts Filmes Ltda""";"""SP""";"""RKS Sanyo Broadcasting Co. Ltd.""";"""Japão""";"""Estrangeira""";"""PR/SP"""
"""128""";07/04/2014;"""19""";"""GRANDE AVENTURA""";"""Documentário""";"""24/04/2014 a 01/05/2014""";"""HK Brasil Produtora Midia & Eventos Ltda""";"""SP""";"""SM Culture & Contents Co. Ltd.""";"""Coréia do Sul""";"""Estrangeira""";"""RJ"""
"""129""";07/04/2014;"""3""";""",, FOOTBALL STADIUM''""";"""Documentário""";"""14/04/2014 a 24/04/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""NOS Sport TV""";"""Holanda""";"""Estrangeira""";"""RJ/RS/SP"""
"""130""";08/04/2014;"""6""";"""DAi AMAZON TANSUI SUIZOKUKAN""";"""Documentário""";"""05/05/2014 a 23/05/2014""";"""BDT Planejamento e Comunicação Ltda""";"""SP""";"""Den-Em Kobo D'Z Ltd""";"""Japão""";"""Estrangeira""";"""AM/PA"""
"""131""";10/04/2014;"""1""";"""PALMOLIVE RODA DE SAMBA""";"""Publicitária""";"""20/04/2014 a 24/04/2014""";"""Conspiração Filmes Entretenimento 3º Milênio Ltda.""";"""RJ""";""" -""";""" -""";"""Brasileira""";"""RJ"""
"""132""";10/04/2014;"""2""";"""SERGIO ECHIGO & YOSHINO ANA NO SOCCER OKOKU BRAZIL TABI""";"""Ficção""";"""23/04/2014 a 06/05/2014""";"""WaSabi JB Comunicação Ltda""";"""RJ""";"""Tv Asahi Corporation""";"""Japão""";"""Estrangeira""";"""PR/RJ/SP"""
"""133""";10/04/2014;"""2""";"""VERMIST""";"""Documentário""";"""27/04/2014 a 05/05/2014""";"""Mares Produções Ltda""";"""RJ""";"""Tros Broadcasting Company""";"""Holanda""";"""Estrangeira""";"""PE/PR/SP"""
"""134""";10/04/2014;"""1""";"""SKATISTAS""";"""Documentário""";"""19/04/2014 a 03/05/2014""";"""Neon Rio Ltda""";"""RJ""";"""Shadowplay Films""";"""Bélgica""";"""Estrangeira""";"""RJ/SP"""
"""135""";11/04/2014;"""2""";"""HOUSE HUNTERS EM SÃO PAULO II""";"""Documentário""";"""22/04/2014 a 28/04/2014""";"""Mango Films Brasil Ltda""";"""SP""";"""Leopard Films""";"""EUA""";"""Estrangeira""";"""SP"""
"""136""";11/04/2014;"""2""";"""MY BRAZIL""";"""Publicitária""";"""15/04/2014 a 20/05/2014""";"""Ocean Produção de Filmes Ltda""";"""SC""";"""Caviar Content""";"""EUA""";"""Estrangeira""";"""RJ"""
"""137""";11/04/2014;"""11""";"""""SOARIN AROUND THE WORLD"" REALIZAÇÃO DE FILMAGEM PARA DOCUMENTÁRIO EM FOZ DO IGUAÇU""";"""Documentário""";"""18/08/2014 a 10/09/2014""";"""Francisco Ramalho Junior Filmes Ltda (Ramalho Filmes)""";"""SP""";"""CDI Virtual Films Inc.""";"""EUA""";"""Estrangeira""";"""PR"""
"""138""";14/04/2014;"""9""";"""VW BRAZIL""";"""Programa de Variedades""";"""23/04/2014 a 16/05/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""MHoch4 GbmH & CO. KG.""";"""Alemanha""";"""Estrangeira""";"""RJ/SP"""
"""139""";16/04/2014;"""5""";"""HUMAN THE MOVIE (HUMANOS - O FILME)""";"""Documentário""";"""20/05/2014 a 15/06/2014""";"""Neon Rio Ltda""";"""RJ""";"""Humankind Production""";"""França""";"""Estrangeira""";"""MA"""
"""140""";16/04/2014;"""4""";"""REAL SPORT""";"""Documentário""";"""21/04/2014 a 28/04/2014""";"""Connection Filmes e Produções Artísticas LTDA""";"""RJ""";"""HBO Sports""";"""EUA""";"""Estrangeira""";"""AM/RJ/SP"""
"""141""";17/04/2014;"""3""";"""PUNKT 12""";"""Programa de Notícias""";"""29/04/2014 a 12/05/2014""";"""Aura Filme Produções Ltda""";"""RJ""";"""InfoNetwork""";"""Alemanha""";"""Estrangeira""";"""RJ/SC"""
"""142""";17/04/2014;"""5""";"""DISCOVERY JAPAN""";"""Documentário""";"""06/05/2014 a 17/05/2014""";"""Urutau Filmes Ltda""";"""SP""";"""V Vision Studio""";"""Japão""";"""Estrangeira""";"""MG/RJ/SP"""
"""143""";17/04/2014;"""1""";"""SUNDAY BIG VARIETY - NIPPON DAYOH, OKKASAN""";"""Documentário""";"""30/04/2014 a 07/05/2014""";"""Xes Projetos Visuais Ltda""";"""SP""";"""Tokyo Tyranosaurus""";"""Japão""";"""Estrangeira""";"""SP"""
"""005/AIN""";24/04/2014;"""Cancelamento do Ofício 128""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";""""""
"""006/AIN""";24/04/2014;"""Cancelamento do Ofício 136""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";""""""
"""007/AIN""";24/04/2014;"""5""";"""FIFA WORLD CUP TITLES""";"""Sequência de Títulos""";"""01/05/2014 a 09/05/2014""";"""FSR Produções Artísticas Ltda""";"""RJ""";"""BBC Sport""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""008/AIN""";25/04/2014;"""1""";"""TIMELAPSE""";"""Publicitária""";"""29/04/2014 a 03/05/2014""";"""RPJ Produtores Associados""";"""SP""";""" -""";""" -""";"""Brasileira""";"""SP"""
"""009/AIN""";25/04/2014;"""6""";"""ZOOM""";"""Ficção""";"""05/05/2014 a 30/09/2014""";"""O2 Cinema Ltda""";"""SP""";"""Rhombus Media Inc.""";"""Canadá""";"""Estrangeira""";"""SP"""
"""011/AIN""";25/04/2014;"""5""";"""STRONGBOW - RIO CHALLENGE""";"""Documentário""";"""02/05/2014 a 11/05/2014""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""Contented Digital Media""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""012/AIN""";25/04/2014;"""Inclusão de 01 profissional""";"""GO BRAZIL GOAL""";"""Documentário""";"""15/04/2014 a 20/07/2014""";"""Town Network Filmagens Ltda""";"""SP""";"""Beijing Zgengnneng Culture Development Company Lts.""";"""China""";"""Estrangeira""";"""AM/BA/CE/DF/MT/MG/PA/PE/RJ/RN/RS/SP"""
"""012-1""";05/05/2014;"""Inclusão de 02 profissionais""";"""GO BRAZIL GOAL""";"""Documentário""";"""15/04/2014 a 20/07/2014""";"""Town Network Filmagens Ltda""";"""SP""";"""Beijing Zgengnneng Culture Development Company Lts.""";"""China""";"""Estrangeira""";"""AM/BA/CE/DF/MT/MG/PA/PE/RJ/RN/RS/SP"""
"""012-2""";06/04/2014;"""Cancelamento do Ofício""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";""""""
"""013/AIN""";28/04/2014;"""1""";"""DUPONT MINI DOC""";"""Documentário""";"""04/05/2014 a 07/05/2014""";"""Parasol Broadcast - RB Produção Cinematográfica""";"""RJ""";"""Two Four Digital Limited""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""014/AIN""";28/04/2014;"""3""";"""CHEFS BRAZIL - UNILEVER""";"""Institucional""";"""05/05/2014 a 07/05/2014""";"""Story Produções Ltda. ME""";"""SP""";"""VCCP KIN""";"""Reino Unido""";"""Estrangeira""";"""SP"""
"""015/AIN""";28/04/2014;"""5""";"""SEKAI SUMMER RESORT - BRASIL""";"""Documentário""";"""13/05/2014 a 23/05/2014""";"""Fundação Fórmula Cultural""";"""SP""";"""G-YAMA INC.""";"""Japão""";"""Estrangeira""";"""SP"""
"""017/AIN """;29/04/2014;"""4""";"""TURNE IN BRAZIL""";"""Documentário""";"""05/05/2014 a 13/05/2014""";"""Neon Rio Ltda""";"""RJ""";"""Fulwell 73 Production""";"""Reino Unido""";"""Estrangeira""";"""RJ/SP"""
"""017-1/AIN""";30/04/2014;"""Cancelamento do Ofício""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";""""""
"""018/AIN""";29/04/2014;"""3""";"""BRAZIL""";"""Publicitária""";"""20/05/2014 a 15/06/2014""";"""JKR Produções Artísticas Ltda""";"""RJ""";"""COMRAD""";"""Holanda""";"""Estrangeira""";"""RJ"""
"""020/AIN""";30/04/2014;"""2""";"""HÍBRIDOS""";"""Documentário""";"""25/05/2014 a 25/09/2014""";"""Samba Filmes Ltda""";"""RJ""";""" -""";""" -""";"""Brasileira""";"""AC/AM/BA/DF/GO/MA/MG/RJ/RN/SP"""
"""021/AIN""";05/05/2014;"""1""";"""BEATS BY DRE""";"""Publicitária""";"""06/05/2014 a 20/05/2014""";"""Ocean Produção de Filmes Ltda""";"""SC""";"""Czar Film GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ"""
"""022/AIN""";05/05/2014;"""6""";"""VELO DO BRASIL""";"""Documentário""";"""15/05/2014 a 13/07/2014""";"""Focus Films Ltda""";"""RJ""";"""PLAYPROD S.A.R.L.""";"""França""";"""Estrangeira""";"""BA/CE/ES/MA/PA/PE/RJ"""
"""023/AIN""";06/05/2014;"""4""";"""PROMO CLIP ONE DIRECTION""";"""Documentário""";"""06/05/2014 a 14/05/2014""";"""Embaúba Produções""";"""RJ""";"""Fullwell 73 Productions""";"""Reino Unido""";"""Estrangeira""";"""RJ/SP"""
"""024/AIN""";06/05/2014;"""3""";"""BRAZIL 2014 - HISTÓRIAS DAS RUAS""";"""Documentário""";"""12/05/2014 a 19/05/2014""";"""Viva Filmes Ltda""";"""RJ""";"""BBC New Broadcasting House""";"""Reino Unido""";"""Estrangeira""";"""CE/SP"""
"""025/AIN""";07/05/2014;"""6""";"""COPPER""";"""Publicitária""";"""07/05/2014 a 22/05/2014""";"""Zohar Cinema e Comunicação Ltda""";"""RJ""";"""Park Pictures NY""";"""EUA""";"""Estrangeira""";"""RJ"""
"""026/AIN""";08/05/2014;"""6""";"""EDUCATING JOEY ESSEX""";"""Documentário""";"""14/05/2014 a 22/05/2014""";"""Neon Rio Ltda""";"""RJ""";"""Lime Pictures Limited""";"""Reino Unido""";"""Estrangeira""";"""RJ/PR/SP"""
"""029/AIN""";09/05/2014;"""4""";"""SHARE""";"""Publicitária""";"""21/05/2014 a 27/05/2014""";"""Delicatessen Produção de Filmes Ltda""";"""SP""";"""Philote Factory Inc,/ TYO Inc. - MONSTER Division""";"""Japão""";"""Estrangeira""";"""SP"""
"""030/AIN""";09/05/2014;"""2""";"""LOGO!""";"""Documentário""";"""14/05/2014 a 26/05/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""Zweites Deutsches Fernsehen""";"""Alemanha""";"""Estrangeira""";"""RJ/SP"""
"""032/AIN""";12/05/2014;"""1""";"""WORLD CUP HELMET""";"""Publicitária""";"""15/05/2014 a 06/06/2014""";"""Ocean Produção de Filmes Ltda""";"""SC""";"""The Directors Bureau""";"""EUA""";"""Estrangeira""";"""RJ/SP"""
"""033/AIN""";12/05/2014;"""1""";"""TRÊS GERAÇÕES DE UMA FAMÍLIA NIKKEI NO BRASIL""";"""Documentário""";"""15/05/2014 a 24/05/2014""";"""Xes Projetos Visuais Ltda""";"""SP""";"""TBS - Tokyo Broadcasting System Television, Inc.""";"""Japão""";"""Estrangeira""";"""SP"""
"""034/AIN""";13/05/2014;"""7""";"""RIO HEAT""";"""Ficção""";"""01/06/2014 a 10/04/2015""";"""Filmes do Serro Ltda""";"""RJ""";"""Canazil Entertainment Goup Inc.""";"""Canadá""";"""Estrangeira""";"""RJ"""
"""036/AIN""";14/05/2014;"""38""";"""COOL KIDS ON THE BLOCK""";"""Documentário""";"""28/05/2014 a 02/06/2014""";"""HK Brasil Produtora Midia & Eventos Ltda""";"""SP""";"""Korean Broadcasting System""";"""Coréia do Sul""";"""Estrangeira""";"""SP"""
"""037/AIN""";14/05/2014;"""4""";"""PIXOTE1S GAME""";"""Documentário""";"""18/05/2014 a 13/05/2014""";"""Elimar Produções Artísticas Ltda""";"""RJ""";"""40Acres & A Mule Filmeworks""";"""EUA""";"""Estrangeira""";"""RJ"""
"""038/AIN""";15/05/2014;"""2""";"""KIKA-KINDERKANAL""";"""Documentário""";"""22/05/2014 a 28/05/2014""";"""Aura Filme Produções Ltda""";"""RJ""";"""E+U TV Film-u Fersehproduktion""";"""Alemanha""";"""Estrangeira""";"""RJ"""
"""039/AIN """;15/05/2014;"""2""";"""DIDI BABY CREAM""";"""Publicitária""";"""26/05/2014 a 15/06/2014""";"""Ricardo Gonçalves Produções Cinematográficas""";"""SP""";"""CDI Virtual Films Inc.""";"""EUA""";"""Estrangeira""";"""SP"""
"""040/AIN""";16/05/2014;"""1""";"""IMAGEFILM""";"""Vídeo Corporativo""";"""18/05/2014 a 22/05/2014""";"""Ricardo Gonçalves Produções Cinematográficas""";"""SP""";"""Fabrikfilms GmbH""";"""Alemanha""";"""Estrangeira""";"""SP"""
"""042/AIN""";16/05/2014;"""2""";"""COPA DO MUNDO DE FUTEBOL 2014""";"""Documentário""";"""01/06/2014 a 13/07/2014""";"""Xes Projetos Visuais Ltda""";"""SP""";"""NTV International""";"""Japão""";"""Estrangeira""";"""MT/PE/RJ/ SP"""
"""043/AIN""";19/05/2014;"""5""";"""MIRAI""";"""Documentário""";"""26/05/2014 a 07/06/2014""";"""Urutau Filmes Ltda""";"""SP""";"""Non Production Co., Ltda.""";"""Japão""";"""Estrangeira""";"""SP"""
"""044/AIN""";19/05/2014;"""2""";"""COPA DO MUNDO 2014 - EXTRA""";"""Documentário""";"""03/06/2014 a 17/07/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""Zweites Deutsches Fernsehen""";"""Alemanha""";"""Estrangeira""";"""BA/CE/PE/RJ/SP"""
"""045/AIN""";19/05/2014;"""4""";"""DAR UM JEITO""";"""Videoclipe""";"""23/05/2014 a 29/05/2014""";"""Buena Estudios Produção e Entretenimento Ltda""";"""RJ""";"""And Films, INC""";"""EUA""";"""Estrangeira""";"""RJ"""
"""046/AIN""";20/05/2014;"""4""";"""REAL SEKAI KUN""";"""Documentário""";"""10/06/2014 a 07/07/2014""";"""Town Network Filmagens Ltda""";"""SP""";"""MBS - Mainichi Broadcasting System INC.""";"""Japão""";"""Estrangeira""";"""BA/MA/MT/PE/PR/RJ/RN/SP"""
"""047/AIN""";20/05/2014;"""3""";"""BOUNCE BRAZIL""";"""Documentário""";"""10/06/2014 a 18/06/2014""";"""Blue Eyes Empreendimentos e Produções Audiovisuais.""";"""RJ""";"""Merge LLC""";"""EUA""";"""Estrangeira""";"""BA/DF/RN/SP"""
"""048/AIN""";20/05/2014;"""2""";"""TV NEWS""";"""Documentário""";"""07/06/2014 a 14/06/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""RTL-TVI""";"""Bélgica""";"""Estrangeira""";"""RJ"""
"""049/AIN""";21/05/2014;"""7""";"""IRAN IN THE WORLD CUP""";"""Documentário""";"""11/06/2014 a 28/06/2014""";"""Neon Rio Ltda""";"""RJ""";"""Manoto1/ Marjan Television Network""";"""Reino Unido""";"""Estrangeira""";"""BA/MG/PR"""
"""050/AIN""";21/05/2014;"""1""";"""ACTIVE LIFE""";"""Publicitária""";"""21/05/2014 a 19/09/2014""";"""Videographica Serviços e Participações Ltda.""";"""SP""";""" -""";""" -""";"""Brasileira""";"""SP"""
"""051/AIN""";22/05/2014;"""19""";"""MEDÍOCRE - VIDEOCLIPE TI FEAT IGGY AZALEA""";"""Videoclipe""";"""25/05/2014 a 30/05/2014""";"""Buena Estudios Produção e Entretenimento Ltda""";"""RJ""";"""DNA, INC""";"""EUA""";"""Estrangeira""";"""RJ"""
"""052/AIN""";23/05/2014;"""11""";"""MASAHARU FUKUYAMA RIO DE JANEIRO 2016""";"""Ficção""";"""18/06/2014 a 29/06/2014""";"""WaSabi JB Comunicação Ltda""";"""RJ""";"""Tv Asahi Corporation""";"""Japão""";"""Estrangeira""";"""RJ"""
"""053/AIN""";26/05/2014;"""2""";"""BRAZIL'S Nº1 FAN""";"""Publicitária""";"""26/05/2014 a 08/06/2014""";"""JKR Produções Artísticas Ltda""";"""RJ""";"""Minnow""";"""Reino Unido""";"""Estrangeira""";"""SP"""
"""054/AIN""";26/05/2014;"""4""";"""COCA-COLA COPA""";"""Publicitária""";"""26/05/2014 a 26/07/2014""";"""Ocean Produção de Filmes Ltda""";"""SC""";"""The Lover""";"""Espanha""";"""Estrangeira""";"""RJ"""
"""055/AIN""";27/05/2014;"""1""";"""RADIO SHACK""";"""Institucional""";"""27/05/2014 a 31/05/2014""";"""Utopia Films Produção Artística Ltda""";"""RJ""";"""Bully Pictures""";"""EUA""";"""Estrangeira""";"""RJ"""
"""056/AIN""";27/05/2014;"""5""";"""DAN MARU""";"""Documentário""";"""09/06/2014 a 15/06/2014""";"""Urutau Filmes Ltda""";"""SP""";"""Fuji Television Network, INC""";"""Japão""";"""Estrangeira""";"""SP"""
"""057/AIN""";27/05/2014;"""3""";"""RTL VI ORANJE""";"""Documentário""";"""06/06/2014 a 15/07/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""Infostrada Productions B.V.""";"""Holanda""";"""Estrangeira""";"""AM/BA/CE/DF/MT/MG/PR/PE/RN/RJ/RS/SP"""
"""058/AIN""";28/05/2014;"""4""";"""MI COPA, TU COPA""";"""Documentário""";"""05/06/2014 a 20/07/2014""";"""Ítaca Filmes do Brasil Ltda, ME""";"""RJ""";""" -""";""" -""";"""Brasileira""";"""DF/RJ/SP"""
"""059/AIN""";28/05/2014;"""3""";"""BRAZIL VERSUS...""";"""Publicitária""";"""08/06/2014 a 15/06/2014""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""Grain Media""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""060/AIN""";28/05/2014;"""22""";"""PERROS DE GIRA""";"""Reality Show""";"""02/06/2014 a 06/07/2014""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""Grain Media""";"""Argentina""";"""Estrangeira""";"""RJ"""
"""061/AIN""";29/05/2014;"""7""";"""EDUCATING JOEY ESSEX 2""";"""Documentário""";"""08/06/2014 a 15/06/2014""";"""Neon Rio Ltda""";"""RJ""";"""Lime Pictures Limited""";"""Reino Unido""";"""Estrangeira""";"""SP"""
"""063/AIN""";29/05/2014;"""3""";"""WORLD CUP""";"""Documentário""";"""12/06/2014 a 16/07/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""Lucky7even Entertainment GmbH""";"""Alemanha""";"""Estrangeira""";"""BA/PE/RJ/SP"""
"""064/AIN""";30/05/2014;"""2""";"""ROAD TO THE OCTAGON - UFC ON FOX 12""";"""Documentário""";"""04/06/2014 a 09/06/2014""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""PositiveImage Video, Inc.""";"""EUA""";"""Estrangeira""";"""RJ"""
"""065/AIN""";02/06/2014;"""3""";"""OUT OF OFFICE""";"""Documentário""";"""08/06/2014 a 19/06/2014""";"""Tenda dos Milagres""";"""BA""";"""Portal A/ Finley Thomas Wise""";"""EUA""";"""Estrangeira""";"""RJ"""
"""066/AIN""";03/06/2014;"""3""";""",,VIETENTOURS GOES TO BRASIL''""";"""Documentário""";"""14/06/2014 a 14/07/2014""";"""Aura Filme Produções Ltda""";"""RJ""";"""Pape I Schürmann Kommunikation & Media""";"""Alemanha""";"""Estrangeira""";"""BA/CE/PE/RJ"""
"""067/AIN""";03/06/2014;"""3""";"""LEOS TRAVEL""";"""Documentário""";"""10/06/2014 a 18/06/2014""";"""Ricardo Gonçalves Produções Cinematográficas""";"""SP""";"""CDI Virtual Films Inc.""";"""EUA""";"""Estrangeira""";"""RJ"""
"""068/AIN""";03/06/2014;"""4""";"""FIFA WORLD CUP BBC ROAD TRIP 2014""";"""Documentário""";"""05/06/2014 a 16/07/2014""";"""FSR Produções Artísticas Ltda""";"""RJ""";"""BBC Sports""";"""Reino Unido""";"""Estrangeira""";"""BA/CE/DF/MG/PA/PE/RJ/SP"""
"""069/AIN""";04/06/2014;"""7""";"""ESPECIAL COPA DO MUNDO""";"""Documentário""";"""21/06/2014 a 26/06/2014""";"""Viralata Produções""";"""RJ""";"""Tokyo Broadcasting System Television, Inc.""";"""Japão""";"""Estrangeira""";"""PE/RJ"""
"""070/AIN""";04/06/2014;"""2""";"""SKY RAINFOREST RESCUE""";"""Institucional""";"""06/06/2014 a 13/06/2014""";"""Neon Rio Ltda""";"""RJ""";"""British Sky Broadcasting Limited""";"""Reino Unido""";"""Estrangeira""";"""AC"""
"""071/AIN""";04/06/2014;"""17""";"""COPA90 - COPA DO MUNDO""";"""Documentário""";"""08/06/2014 a 20/07/2014""";"""Spray Filmes S.S. Ltda.""";"""SP""";"""Big Balls Ltd.""";"""Reino Unido""";"""Estrangeira""";"""CE/MT/MG/PA/RJ/SP"""
